monoisotope,isotope_1,isotope_2,isotope_type_1,isotope_type_2,charge_1,charge_2
1445.6257727689,0.0,0.0,0.0,0.0,0.0,0.0
1446.63588860431,0.0,0.0,0.0,0.0,0.0,0.0
1447.64105943799,0.0,0.0,0.0,0.0,0.0,0.0
1448.6370680475,0.0,0.0,0.0,0.0,0.0,0.0
1449.63166405242,0.0,0.0,0.0,0.0,0.0,0.0
1450.62762535199,0.0,0.0,0.0,0.0,0.0,0.0
1451.62088869643,0.0,0.0,0.0,0.0,0.0,0.0
1452.63667092024,1453.63758769772,0.0,1.0,0.0,1.0,0.0
1454.63418481033,0.0,0.0,0.0,0.0,0.0,0.0
1455.62614184938,0.0,0.0,0.0,0.0,0.0,0.0
1456.63234076396,0.0,0.0,0.0,0.0,0.0,0.0
1458.65513314803,0.0,0.0,0.0,0.0,0.0,0.0
1459.64537069413,0.0,0.0,0.0,0.0,0.0,0.0
1460.6400148176,0.0,0.0,0.0,0.0,0.0,0.0
1461.63091852829,0.0,0.0,0.0,0.0,0.0,0.0
1462.62500057512,0.0,0.0,0.0,0.0,0.0,0.0
1464.61853513429,0.0,0.0,0.0,0.0,0.0,0.0
1465.62146256745,0.0,0.0,0.0,0.0,0.0,0.0
1466.63520386292,0.0,0.0,0.0,0.0,0.0,0.0
1467.64003580987,0.0,0.0,0.0,0.0,0.0,0.0
1468.63433118685,0.0,0.0,0.0,0.0,0.0,0.0
1469.63074833757,0.0,0.0,0.0,0.0,0.0,0.0
1470.62842851188,0.0,0.0,0.0,0.0,0.0,0.0
1471.62497678354,0.0,0.0,0.0,0.0,0.0,0.0
1472.63388133955,0.0,0.0,0.0,0.0,0.0,0.0
1475.62434153128,0.0,0.0,0.0,0.0,0.0,0.0
1476.6267741418,0.0,0.0,0.0,0.0,0.0,0.0
1477.63351041407,0.0,0.0,0.0,0.0,0.0,0.0
1478.63695134292,0.0,0.0,0.0,0.0,0.0,0.0
1480.66198118799,0.0,0.0,0.0,0.0,0.0,0.0
1481.65648231323,0.0,0.0,0.0,0.0,0.0,0.0
1482.66881235811,0.0,0.0,0.0,0.0,0.0,0.0
1483.70727733189,1484.70189595864,0.0,1.0,0.0,1.0,0.0
1485.67928704811,0.0,0.0,0.0,0.0,0.0,0.0
1486.6446328059,1488.61822546218,0.0,2.0,0.0,1.0,0.0
1489.62097716827,0.0,0.0,0.0,0.0,0.0,0.0
1490.62258013239,1491.62595274955,0.0,1.0,0.0,1.0,0.0
1492.62570341185,0.0,0.0,0.0,0.0,0.0,0.0
1493.65129817706,0.0,0.0,0.0,0.0,0.0,0.0
1494.65854093473,0.0,0.0,0.0,0.0,0.0,0.0
1495.68703193929,0.0,0.0,0.0,0.0,0.0,0.0
1496.68225657096,1497.6814246194,0.0,1.0,0.0,1.0,0.0
1498.66487851643,0.0,0.0,0.0,0.0,0.0,0.0
1499.64270035715,0.0,0.0,0.0,0.0,0.0,0.0
1500.62864934361,0.0,0.0,0.0,0.0,0.0,0.0
1502.62098774048,0.0,0.0,0.0,0.0,0.0,0.0
1503.63099596877,0.0,0.0,0.0,0.0,0.0,0.0
1504.6496577608,0.0,0.0,0.0,0.0,0.0,0.0
1505.67281187231,1506.66721166574,0.0,1.0,0.0,1.0,0.0
1507.65629712784,0.0,0.0,0.0,0.0,0.0,0.0
1508.70235975382,1510.68296050876,0.0,2.0,0.0,1.0,0.0
1509.7008896601,1511.67880616674,0.0,2.0,0.0,1.0,0.0
1512.66720987714,0.0,0.0,0.0,0.0,0.0,0.0
1515.64065795752,0.0,0.0,0.0,0.0,0.0,0.0
1516.63843181288,0.0,0.0,0.0,0.0,0.0,0.0
1517.64719522002,1519.65238837659,0.0,2.0,0.0,1.0,0.0
1518.65233378748,0.0,0.0,0.0,0.0,0.0,0.0
1520.64355029833,0.0,0.0,0.0,0.0,0.0,0.0
1521.68609528708,1522.68378456301,1523.67716655316,1.0,1.0,1.0,1.0
1524.66163101721,0.0,0.0,0.0,0.0,0.0,0.0
