fid,qq,var,outliers
561,ok,ok,ok
562,problem,problem,ok
563,ok,problem,ok
564,ok,ok,ok
565,problem,ok,ok
566,problem,ok,ok
567,ok,ok,ok
568,problem,ok,ok
569,problem,ok,ok
570,problem,ok,ok
571,ok,ok,problem
572,problem,ok,ok
573,ok,ok,ok
574,ok,ok,ok
575,ok,ok,ok
576,problem,ok,ok
577,ok,ok,ok
578,ok,ok,ok
579,ok,ok,ok
580,ok,problem,ok
581,ok,problem,ok
582,ok,problem,ok
583,ok,problem,ok
584,ok,ok,ok
585,ok,ok,ok
586,problem,ok,ok
587,ok,ok,ok
588,ok,ok,ok
589,ok,ok,ok
590,ok,ok,ok
591,ok,ok,ok
592,ok,ok,problem
593,ok,ok,ok
594,ok,ok,ok
595,ok,ok,problem
596,problem,ok,ok
597,ok,ok,ok
598,ok,ok,ok
599,ok,ok,ok
600,ok,ok,ok
601,ok,ok,ok
602,ok,ok,ok
603,ok,ok,ok
604,ok,ok,ok
605,ok,ok,ok
606,problem,ok,problem
607,ok,ok,ok
608,problem,problem,ok
609,ok,ok,ok
610,problem,ok,ok
611,problem,ok,ok
612,problem,ok,ok
613,ok,ok,ok
614,ok,problem,problem
615,problem,ok,problem
616,problem,ok,ok
617,problem,ok,ok
618,problem,ok,ok
619,ok,ok,ok
620,ok,ok,ok
621,ok,ok,ok
622,problem,ok,ok
623,problem,ok,ok
624,problem,ok,ok
625,ok,ok,ok
626,problem,ok,problem
627,ok,ok,ok
628,problem,ok,problem
629,ok,ok,ok
630,ok,ok,ok
631,problem,ok,ok
632,ok,ok,ok
633,ok,ok,problem
634,problem,ok,ok
635,ok,ok,ok
636,problem,ok,ok
637,problem,ok,ok
638,problem,ok,ok
639,problem,ok,ok
640,problem,ok,ok
641,ok,ok,ok
642,ok,ok,ok
643,ok,ok,ok
644,problem,ok,problem
645,problem,ok,problem
646,problem,ok,problem
647,problem,ok,ok
648,ok,ok,ok
649,ok,ok,ok
650,ok,ok,ok
651,ok,ok,problem
652,ok,ok,problem
653,ok,ok,problem
654,problem,ok,problem
655,ok,ok,ok
656,ok,ok,problem
657,problem,ok,ok
658,ok,ok,ok
659,ok,ok,ok
660,ok,problem,ok
661,ok,ok,ok
662,ok,ok,ok
663,problem,ok,problem
664,problem,ok,problem
665,problem,ok,problem
666,problem,ok,problem
667,problem,ok,ok
668,ok,problem,ok
669,ok,problem,ok
670,ok,ok,ok
671,ok,ok,problem
672,ok,ok,ok
673,ok,ok,ok
674,problem,ok,problem
675,ok,ok,ok
676,ok,ok,ok
677,problem,ok,problem
678,problem,problem,ok
679,problem,ok,ok
680,ok,ok,ok
681,problem,problem,problem
682,ok,ok,ok
683,ok,ok,ok
684,ok,ok,ok
685,ok,ok,ok
686,problem,ok,ok
687,problem,ok,ok
688,ok,ok,ok
689,problem,ok,problem
690,problem,ok,problem
691,ok,ok,ok
692,ok,ok,problem
693,problem,ok,ok
694,ok,ok,ok
695,problem,ok,ok
696,ok,ok,problem
697,ok,ok,problem
698,ok,ok,problem
699,problem,ok,ok
700,ok,ok,ok
701,ok,ok,ok
702,ok,problem,ok
703,ok,ok,ok
